issue_date,issue_time,address,latitude,longitude
2025-11-03,14:49:00,85 MISSION ST,40.8056097,-74.2132287
2025-11-03,14:47:00,85 MISSION ST,40.8056097,-74.2132287
2025-11-03,14:35:00,MISSION ST & 4TH ST,37.7844721,-122.4042227
2025-11-03,14:35:00,27 DRUMM ST,37.7940385,-122.3967754
2025-11-03,14:28:00,METRO POWELL STATION-OUTBOUND,37.78465,-122.40709
2025-11-03,14:28:00,STANYAN ST & WALLER ST,37.7682482,-122.4533779
2025-11-03,14:28:00,STANYAN ST & WALLER ST,37.7682482,-122.4533779
2025-11-03,14:27:00,1820 FILLMORE ST,37.7865067,-122.4332388
2025-11-03,14:27:00,3103 24TH ST,37.7523067,-122.414327
2025-11-03,14:25:00,THIRD ST & MARIN ST,37.7490248,-122.3873901
2025-11-03,14:25:00,THIRD ST & MARIN ST,37.7490248,-122.3873901
2025-11-03,14:19:00,504 TAYLOR ST,37.7870274,-122.4115524
2025-11-03,14:19:00,METRO EMBARCADERO STATION,37.7929308,-122.3967133
2025-11-03,14:19:00,GARFIELD ST & VICTORIA ST,37.71976,-122.46529
2025-11-03,14:17:00,1597 CALIFORNIA ST,37.79039,-122.4206169
2025-11-03,14:17:00,325 BRYANT ST,42.9091519,-78.8792009
2025-11-03,14:16:00,944 HOWARD ST,37.7808027,-122.4062239
2025-11-03,14:16:00,GARFIELD ST & VICTORIA ST,37.71976,-122.46529
2025-11-03,14:14:00,1446 POLK ST,37.7903505,-122.4203771
2025-11-03,14:10:00,220 OLIVE ST,34.0528062,-118.249501
2025-11-03,14:09:00,1522 HOWARD ST,37.7729036,-122.4161942
2025-11-03,14:09:00,525 POWELL ST,49.28333869999999,-123.0927207
2025-11-03,14:09:00,11TH ST & HARRISON ST,37.770651,-122.4124985
2025-11-03,14:07:00,2456 MISSION ST,37.7576157,-122.4194284
2025-11-03,14:06:00,11TH ST & HARRISON ST,37.770651,-122.4124985
2025-11-03,14:05:00,3RD ST & WARRIORS WAY,37.7688379,-122.3892008
2025-11-03,14:02:00,3RD ST & WARRIORS WAY,37.7688379,-122.3892008
2025-11-03,14:01:00,DON CHEE WAY-STEUART ST,37.7938141,-122.3939184
2025-11-03,14:01:00,MISSION ST & 2ND ST,37.7880191,-122.3998356
2025-11-03,13:58:00,2435 MISSION ST,37.758061,-122.4188143
2025-11-03,13:56:00,3338 SCOTT ST,29.726553,-95.3504179
2025-11-03,13:53:00,85 MISSION ST,40.8056097,-74.2132287
2025-11-03,13:51:00,85 MISSION ST,40.8056097,-74.2132287
2025-11-03,13:49:00,MISSION ST & 3RD ST,37.7862678,-122.4020705
2025-11-03,13:48:00,806 GRANT AVE,38.1071643,-122.5667699
2025-11-03,13:48:00,404 SUTTER ST,38.6800799,-121.1729731
2025-11-03,13:47:00,MISSION ST & 3RD ST,37.7862678,-122.4020705
2025-11-03,13:46:00,MARKET ST & NEW MONTGOMERY ST,37.7888048,-122.4020074
2025-11-03,13:44:00,MARKET ST & NEW MONTGOMERY ST,37.7888048,-122.4020074
2025-11-03,13:44:00,86 MISSION ST,40.8052344,-74.2131639
2025-11-03,13:43:00,MARKET ST & NEW MONTGOMERY ST,37.7888048,-122.4020074
2025-11-03,13:42:00,HAIGHT ST & BAKER ST,37.7708535,-122.4404229
2025-11-03,13:41:00,201 LAGUNA ST,37.7730287,-122.425826
2025-11-03,13:38:00,4TH ST & MARKET ST,37.7857553,-122.4058724
